code,freq,,code,freq
303,825,,105,1
400,756,,499,1
409,613,,607,1
1607,486,,899,1
1603,448,,904,1
800,445,,930,1
1601,335,,1107,1
1606,318,,1209,1
201,282,,1211,1
404,236,,1400,1
1610,230,,1401,1
403,227,,1408,1
1900,215,,1502,1
300,204,,1707,1
401,202,,4600,1
100,186,,604,2
308,185,,608,2
204,184,,802,2
1600,178,,1000,2
206,173,,1010,2
200,170,,1105,2
811,168,,1700,2
1104,131,,1710,2
501,121,,606,3
1719,114,,702,3
900,111,,704,3
1706,107,,1205,3
311,106,,1402,3
908,102,,1503,3
1602,82,,503,4
1102,71,,1300,4
700,70,,1609,4
312,68,,104,5
1106,56,,1103,5
805,55,,1303,5
202,54,,1407,5
808,54,,1506,5
1002,54,,205,6
502,51,,1007,6
1301,51,,1201,6
410,48,,301,7
1100,48,,406,7
408,47,,305,8
903,47,,310,8
1501,47,,801,8
102,46,,1611,8
203,45,,603,9
402,45,,703,9
605,45,,1505,9
103,44,,407,10
701,44,,507,11
810,43,,888,12
1704,43,,905,12
1605,39,,1500,12
313,38,,1701,14
809,37,,405,19
500,36,,807,20
1718,35,,,
600,30,,,
302,28,,,
901,28,,,
304,26,,,
803,25,,,
505,24,,,
602,24,,,
601,22,,,
1101,22,,,
1202,21,,,
1604,21,,,
807,20,,,
405,19,,,
1701,14,,,
888,12,,,
905,12,,,
1500,12,,,
507,11,,,
407,10,,,
603,9,,,
703,9,,,
1505,9,,,
305,8,,,
310,8,,,
801,8,,,
1611,8,,,
301,7,,,
406,7,,,
205,6,,,
1007,6,,,
1201,6,,,
104,5,,,
1103,5,,,
1303,5,,,
1407,5,,,
1506,5,,,
503,4,,,
1300,4,,,
1609,4,,,
606,3,,,
702,3,,,
704,3,,,
1205,3,,,
1402,3,,,
1503,3,,,
604,2,,,
608,2,,,
802,2,,,
1000,2,,,
1010,2,,,
1105,2,,,
1700,2,,,
1710,2,,,
105,1,,,
499,1,,,
607,1,,,
899,1,,,
904,1,,,
930,1,,,
1107,1,,,
1209,1,,,
1211,1,,,
1400,1,,,
1401,1,,,
1408,1,,,
1502,1,,,
1707,1,,,
4600,1,,,
,,,,
,9859,,,
