sdg_id,title,short_description,long_description
khm_2284,Get involved in the world. Immigration and volunteering towards fair trade and social economy in Cuenca,MULTISECTOR AID,"Recursos destinats a ajuda per a projectes d'inversiÌ_ a paÌøsos del Sud, amb soci local i transferÌ¬ncia tecnolÌ_gica"
khm_0709,AH/2003/008,LIVESTOCK,Improved feeding systems for more efficient beef cattle production in Cambodia
khm_0662,Administration and Oversight (Private Sector),ADMINISTRATION AND OVERSIGHT (PRIVATE SECTOR),Administration and Oversight (Private Sector) [Government of Cambodia]
khm_4228,"SystÌ¬me d'information sur les accidents par mines et de la route, planification du dÌ©minage","SYSTÌöME D'INFORMATION SUR LES ACCIDENTS PAR MINES ET DE LA ROUTE, PLANIFICATION DU DÌäMINAGE","SystÌ¬me d'information sur les accidents par mines et de la route, planification du dÌ©minage"
khm_2650,INTEG. DEMINING & DEVELOPMENT PHASE II,INTEG. DEMINING & DEVELOPMENT,"A GRANT OF $936,680 FOR A 2 YEAR PROJECT IN CAMBODIA FOR CARE AUSTRALIA'S, INTEGRATED DEMINING & DEVELOPMENT PROJECT - PHASE II. OBJECTIVES OF THE ACTIVITY INCLUDE RAISING THE CAPACITY OF THE COMMUNITY TO DETERMINEDEVELOPMENT PRIORITIES, ADDRESS LAND TENURE ISSUES A REDUCED INCIDENCE AND SEVERITY OF MINE/UXO RELATED INJURIES. OBJECTIVES ALSO INCLUDE THE DEMINING OF LAND FOR RESETTLEMENT AND CULTIVATION AND INCREASED CAPACITY OF NEWLY RETURNED FAMILIES TO BE ECONOMICALLY SELF SUFFICIENT AND DEVELOP SUSTAINABLE NATURAL RESOURCE MANAGEMENT PRACTICES, ACCESS TO BASIC HEALTH AND HYGIENE EDUCATION."
khm_2540,IMPROVED REPRODUCTIVE AND CHILD HEALTH,ENVIRONMENTAL HEALTH,IMPROVED REPRODUCTIVE AND CHILD HEALTH Funding: 1037 - Economic Support Fund
khm_2390,Health Sector Support Programme 2 - Technical Advice and Support from AUSAID,HEALTH POLICY & ADMIN. MANAGEMENT,"To provide technical support, through the AusAID health Adviser, on the DFID Health portfolio."
khm_0654,Administration and Oversight,ADMINISTRATION AND OVERSIGHT,"Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering training programs, equipment and supplies, ICASS, vehicle fuel and maintenance, maintenance contracts, janitorial services, operational unit web page development and maintenance, outreach such as publications and the cost of their preparation (including staff costs), and technical assistance to ensure USG compliance with regulations. [through The Phnom Penh Post]"
khm_2701,IT Security and Management.,IT Security and Management,"Type: Training. Sector: Information Technology. Project beneficiaries (total): Cambodia (14). Associated Financing ('000 Thai Baht): Fellowship: No.: 14, Value: 51.8. Cofinancer: CSEP."
khm_2956,MEKONG RIVER FLOODING CAMBODIA,EMERGENCY: CAMBODIA FLOODS,IMPROVE LIVELIHOODS SECURITY AND SUSTAINED PARTICIPATION OF THE POOREST RURAL PEOPLE IN FOUR TARGET PROVINCES.
khm_0260,Humanitarian Mine Action,HUMANITARIAN MINE ACTION,Humanitarian Mine Action - Explosive Harvesting [through Golden West Humanitarian Foundation]
khm_2502,Identification of most vulnerable households,IDENTIFICATION OF MOST VULNERABLE HOUSEHOLDS,Die unter dem Management des MoP landesweit in allen lÌ_ndlichen Gebieten erfassten und zur Nutzung bereit gestellten Daten armer Haushalte werden zunehmend als Standard fÌ_r die Ausrichtung von ArmutsbekÌ_mpfungsprogrammen genutzt.
khm_0461,,ENVIRONMENT RESEARCH,"THE OVERALL AIM IS TO PROVIDE CDRI THE OPPORTUNITY TO RESEARCH IN ISSUES LIKE THE COHERENCE BETWEEN ENVIRONMENT, DEVELOPMENT AND POVERTY REDUCTION, WHICH CONTRIBUTES TO THE CURRENT DEBATE REGARDING THESE ISSUES."
khm_4479,Tonle Sap Conservation Project,ENVIRONMENTAL POLICY AND ADMIN. MGMT,Strengthened national capacities to mainstream environment and energy concerns into national development plans and implementation systems (CPR).
khm_1050,Cambodia 2000. Fase II,CAMBODIA 2000. FASE II,Training in the hydric sector and building of a drinking water system in Taing Krasaing
khm_4447,THE PROJECT FOR THE RURAL ELECTRIFICATION ON MICRO-HYDROPOWER IN REMOTE PROVINCE OF MONDUL KIRI,RURAL ELECTRIFICATION ON MICRO-HYDROPOWER IN REMOTE PROVINCE:MONDUL KIRI,
