sdg_id,title,short_description,long_description,sdg_codes,initials
khm2_0001,Social Fund II Project,SOCIAL FUND II PROJECT,"The Social Fund II Project seeks to a) provide financing for small scale, community-based subprojects in the areas of social and economic infrastructure, as a part of the overall reconstruction effort in Cambodia; b) create short term employment opportunities to assist in the return to a peace time economy and help absorb soldiers and refugees returning to their homes; c) strengthen communities and local government through a demand-driven sub-project identification and design process; d) improve line ministry capacities to develop investment criteria for local sub-projects. There are three project components: 1) This component will finance sub-project grants for three programs. The first program will improve technical quality of rural water supply projects and other components as well. The second program will pay more attention to economic analysis in appraisal, using cost effectiveness ratios and benefit analysis. The third program will alter the policies and procedures governing subproject eligibility, appraisal, and supervision. 2) This component will support the costs of staffing, managing, monitoring, reporting, and operating the Social Fund of the Kingdom of Cambodia (SFKC). 3) A portion of the credit will be set aside as unallocated to facilitate adjustments to out year disbursement category management.",,
khm2_0002,Dispatch of Volunteers_IT_NIPTICT,DISPATCH OF VOLUNTEERS_IT_NIPTICT,Providing the receipient countries and organizations with IT learning courses and other IT-related volunteering activities to meet the demand in sharing their IT knowledge and skills,,
khm2_0003,Dispatch of Volunteers_Youth_Meanchey University and Elementary School,DISPATCH OF VOLUNTEERS_YOUTH_MEANCHEY UNIVERSITY AND ELEMENTARY SCHOOL,"1) Education service : Korean language, art class 2) Effort service : repairing houses for locals 3) Cultural exchange : K-Pop, Tae Kwon Do",,
khm2_0004,Dispatch of Volunteers_Youth_Samaki Elementary School,DISPATCH OF VOLUNTEERS_YOUTH_SAMAKI ELEMENTARY SCHOOL,"1) Education service : art, music, P.E, Korean language, English class 2) Effort service : repairing facilities, cleaning environment 3) Cultural exchange : traditional playing, traditional martial arts, K-Pop",,
khm2_0005,Dispatch of Volunteers_Youth_Life University,DISPATCH OF VOLUNTEERS_YOUTH_LIFE UNIVERSITY,"1) Education service : Korean language, science, art, music, P.E 2) Effort service : school building, installing water purifier 3) Cultural exchange : volleyball match, Korean traditional performance",,
khm2_0006,"Dispatch of Volunteers_Youth_Otavao Elementary School, Donyath kindergar","DISPATCH OF VOLUNTEERS_YOUTH_OTAVAO ELEMENTARY SCHOOL, DONYATH KINDERGAR","1) Education service : art, music, and P.E, English and Korean language education 2) Effort service : school interior/exterior painting, repairing windows, doors, and toilets 3) Cultural exchange : Korea-Cambodia cultural performance, Celebration for volunteer outcome",,
khm2_0007,"Dispatch of Volunteers_Youth_Rokakondal Primary School, Orsey 2 Primary","DISPATCH OF VOLUNTEERS_YOUTH_ROKAKONDAL PRIMARY SCHOOL, ORSEY 2 PRIMARY","1) Education service : art, music, and P.E, Korean language education 2) Effort service : school exterior painting, cleaning environment, repairing windows, doors, and toilets 3) Cultural exchange : Korea-Cambodia cultural performance, Celebration for volunteer outcome",,
khm2_0008,"Dispatch of Volunteers_Youth_Rokakondal Primary School, Orsey 1 Primary","DISPATCH OF VOLUNTEERS_YOUTH_ROKAKONDAL PRIMARY SCHOOL, ORSEY 1 PRIMARY","1) Education service : art, music, and P.E, hygiene, Korean language education 2) Effort service : school exterior/interior painting 3) Cultural exchange : Korean traditional music, K-Pop, Tea Kwon do, mime",,
khm2_0009,Dispatch of Volunteers_Youth_Sonan Chai Primary School,DISPATCH OF VOLUNTEERS_YOUTH_SONAN CHAI PRIMARY SCHOOL,"1) Education service : art, music, and P.E, hygiene education, Korean language educaiton 2) Effort service : exterior painting, repairing house, cleaning environment, taking preventive measures 3) Cultural exchange : Korea-Cambodia cultural performance",,
khm2_0010,"Dispatch of Volunteers_Youth_Ogriut elemen, Anuwichi Errai Bbrisbai elem","DISPATCH OF VOLUNTEERS_YOUTH_OGRIUT ELEMEN, ANUWICHI ERRAI BBRISBAI ELEM","Education service : basic hygiene education, public health care education Cultural exchange : Tea Kwon do, K-pop, Samulnori",,
